entry_time,exit_time,pnl,reason
1701852900000,1701852900000,-3.558995932879043,SL Hit
1701855120000,1701855120000,-4.597014385584771,SL Hit
1701860880000,1701860880000,-2.5130538496596273,SL Hit
1701861000000,1701861000000,5.0,TP Hit
1701861540000,1701861540000,16.108201322371315,TP Hit
1701864840000,1701864840000,-6.836970365846355,SL Hit
1701866580000,1701866580000,-2.0752732456166996,SL Hit
1701872520000,1701872520000,-5.23039243290259,SL Hit
1701875880000,1701875880000,36.159247833704285,TP Hit
1701877860000,1701877860000,34.69824632793461,TP Hit
1701879180000,1701879180000,-5.966884627454419,SL Hit
1701879300000,1701879300000,15.690341857545718,TP Hit
1701883560000,1701883560000,-2.608448624578159,SL Hit
1701889140000,1701889140000,-4.672161179074465,SL Hit
1701889200000,1701889200000,-4.624149666284211,SL Hit
1701904740000,1701904740000,-1.6109947669938265,SL Hit
1701905580000,1701905580000,-3.4540018194275035,SL Hit
1701905700000,1701905700000,-2.493001689468656,SL Hit
1701906300000,1701906300000,-2.003681547696033,SL Hit
1701906480000,1701906480000,5.0,TP Hit
1701907620000,1701907620000,7.096576451564033,TP Hit
1701909420000,1701909420000,19.64222017323482,TP Hit
1701909480000,1701909480000,-1.0926329472713405,SL Hit
1701909600000,1701909600000,-1.5632906535138318,SL Hit
1701912300000,1701912300000,-2.4251876417911262,SL Hit
1701916920000,1701916920000,7.5,Flip to Long
1701917040000,1701917040000,5.0,TP Hit
1701917400000,1701917400000,5.0,TP Hit
1701918660000,1701918660000,-1.6661566336115357,SL Hit
1701919020000,1701919020000,5.0,TP Hit
1701920460000,1701920460000,-0.8607764151529409,SL Hit
1701925740000,1701925740000,-1.98718655781704,SL Hit
1701928560000,1701928560000,5.0,TP Hit
1701929700000,1701929700000,-5.915907693637564,SL Hit
1701932280000,1701932280000,-0.5867243228130974,SL Hit
1701932760000,1701932760000,10.091777202840603,TP Hit
1701934500000,1701934500000,-2.6436589637742145,SL Hit
1701934620000,1701934620000,-2.5575426779469126,SL Hit
1701936000000,1701936000000,-2.9239848053439346,SL Hit
1701940380000,1701940380000,-6.45689894023235,SL Hit
1701945660000,1701945660000,5.780721913084562,TP Hit
1701946680000,1701946680000,11.556877576877014,TP Hit
1701946980000,1701946980000,5.0,TP Hit
1701950160000,1701950160000,-9.698606441452284,SL Hit
1701950220000,1701950220000,5.0,TP Hit
1701951900000,1701951900000,-1.6336371776924352,SL Hit
1701952560000,1701952560000,15.329610699263867,TP Hit
1701961860000,1701961860000,55.173471379093826,TP Hit
1701965340000,1701965340000,-3.659559755367809,SL Hit
1701965400000,1701965400000,-3.621376915696601,SL Hit
1701973860000,1701973860000,-2.905373999965377,SL Hit
1701974640000,1701974640000,-7.007491958542232,SL Hit
1701974880000,1701974880000,-3.3938769221203984,SL Hit
1701975660000,1701975660000,-2.496425601417286,SL Hit
1701976140000,1701976140000,-4.683579721582646,SL Hit
1701976440000,1701976440000,-2.5569449038994208,SL Hit
1701992640000,1701992640000,-1.6449853532649286,SL Hit
1701992700000,1701992700000,-0.679272113746265,SL Hit
1701993060000,1701993060000,-1.5752421533106826,SL Hit
1701993240000,1701993240000,-0.5648771628038958,SL Hit
1701994680000,1701994680000,7.001771691277099,TP Hit
1701995820000,1701995820000,-1.4577466101109167,SL Hit
1701997020000,1701997020000,-2.3205838117355597,SL Hit
1701997200000,1701997200000,5.0,TP Hit
1701997800000,1701997800000,-2.7686201839715068,SL Hit
1701998340000,1701998340000,-1.7623717766982736,SL Hit
1702001460000,1702001460000,-3.611715180963074,SL Hit
1702001640000,1702001640000,-1.5301260486121464,SL Hit
1702002060000,1702002060000,-1.4755594548732915,SL Hit
1702002420000,1702002420000,-2.441006444987579,SL Hit
1702003320000,1702003320000,5.0,TP Hit
1702008240000,1702008240000,-4.148056041798554,SL Hit
1702010280000,1702010280000,-0.5088433773853467,SL Hit
1702012380000,1702012380000,5.0,TP Hit
1702012920000,1702012920000,5.0,TP Hit
1702015320000,1702015320000,-0.5761193880680366,SL Hit
1702015440000,1702015440000,5.0,TP Hit
1702016880000,1702016880000,-2.1165308895324415,SL Hit
1702026060000,1702026060000,-1.2398657031735638,SL Hit
1702029960000,1702029960000,5.0,TP Hit
1702030320000,1702030320000,5.0,TP Hit
1702030800000,1702030800000,-4.807385416679608,SL Hit
1702044300000,1702044300000,-45.07474713488773,SL Hit
1702054260000,1702054260000,-5.845965476593847,SL Hit
1702258200000,1702258200000,-6.176255922091514,SL Hit
1702259400000,1702259400000,-1.4436283111353987,SL Hit
1702259460000,1702259460000,5.0,TP Hit
1702263300000,1702263300000,-3.535327467143361,SL Hit
1702263420000,1702263420000,-0.9790868969794246,SL Hit
1702263600000,1702263600000,-0.9699996037415985,SL Hit
1702263900000,1702263900000,5.0,TP Hit
1702264500000,1702264500000,-0.9320327069144696,SL Hit
1702265580000,1702265580000,-5.43673900727299,SL Hit
1702268220000,1702268220000,5.0,TP Hit
1702268580000,1702268580000,5.0,TP Hit
1702269720000,1702269720000,-1.6587315608776407,SL Hit
1702270140000,1702270140000,-0.6690544893317565,SL Hit
1702270380000,1702270380000,-0.6391220258083194,SL Hit
1702270800000,1702270800000,-0.544534906566696,SL Hit
1702270980000,1702270980000,0.0,Flip to Short
1702271100000,1702271100000,-2.6024889096916013,SL Hit
1702272000000,1702272000000,5.0,TP Hit
1702272360000,1702272360000,-0.6002932603405498,SL Hit
1702272780000,1702272780000,5.0,TP Hit
1702276920000,1702276920000,-3.6191589483132702,SL Hit
1702276980000,1702276980000,-5.640371746249002,SL Hit
1702291980000,1702291980000,-8.603616361378954,SL Hit
1702292940000,1702292940000,5.0,TP Hit
