exit_time,pnl,reason
1721152800000,20.59373948769644,TP Hit (Same Bar)
1721153820000,-7.823016883223318,SL Hit (Same Bar)
1721226900000,-19.60236601356155,SL Hit (Same Bar)
1721228520000,-30.784024679320282,SL Hit
1721232660000,14.527667400645441,TP Hit (Same Bar)
1721237520000,-5.451621335007076,SL Hit (Same Bar)
1721238720000,-9.237643968219345,SL Hit (Same Bar)
1721240940000,-22.459053683953243,SL Hit
1721241900000,-7.211337548396841,SL Hit (Same Bar)
1721244180000,-9.720150115594151,SL Hit (Same Bar)
1721314560000,-10.273491422980442,SL Hit (Same Bar)
1721317860000,54.28594747977331,TP Hit (Same Bar)
1721323080000,-9.244621178193484,SL Hit (Same Bar)
1721326320000,-26.761099113035016,SL Hit
1721397420000,-60.21935835246404,SL Hit
1721401080000,-7.546395371246035,SL Hit (Same Bar)
1721659920000,-34.68744740838156,SL Hit (Same Bar)
1721666040000,-21.33658540925535,SL Hit
1721671680000,46.06640696080285,TP Hit
1721746980000,-14.674747550678148,SL Hit
1721755140000,-11.22141564359481,SL Hit (Same Bar)
1721757060000,15.654369994430454,TP Hit (Same Bar)
1721763540000,-6.276482140739972,SL Hit (Same Bar)
1721838840000,35.976390327254194,TP Hit
1721840940000,-9.198836634051986,SL Hit (Same Bar)
1721848140000,22.45393128754222,TP Hit (Same Bar)
1721851680000,46.12607457344711,TP Hit
1721919540000,-45.53740509424824,SL Hit
1721922300000,48.355951761914184,TP Hit
1721926260000,-22.723887985164765,SL Hit
1721930400000,32.37523063151457,TP Hit (Same Bar)
1721930760000,19.271981612051604,TP Hit (Same Bar)
1722004080000,-20.791091098843026,SL Hit (Same Bar)
1722006060000,143.65977569972165,TP Hit
1722008700000,-8.712574269542529,SL Hit (Same Bar)
1722262020000,45.321676928622765,TP Hit
1722263100000,-33.845043706765864,SL Hit
1722264540000,67.24031202559127,TP Hit
1722273360000,34.33884188068623,TP Hit
1722274800000,-6.603328722907463,SL Hit (Same Bar)
1722281280000,-8.743466721120058,SL Hit (Same Bar)
1722349800000,-14.495874027554237,SL Hit (Same Bar)
1722351540000,-12.711199616562226,SL Hit (Same Bar)
1722355740000,-10.788853891644976,SL Hit (Same Bar)
1722357000000,-25.26502864644135,SL Hit (Same Bar)
1722362460000,24.725867499189917,TP Hit (Same Bar)
1722366000000,-5.628773749165703,SL Hit (Same Bar)
1722367500000,27.787047635632916,TP Hit
1722368580000,-18.147992716279987,SL Hit (Same Bar)
1722434700000,-23.008552507882996,SL Hit (Same Bar)
1722437580000,-14.246676246293646,SL Hit (Same Bar)
1722439860000,-15.852762098176754,SL Hit (Same Bar)
1722441660000,41.07266570116917,TP Hit
1722443760000,-8.521921859210124,SL Hit (Same Bar)
1722445860000,-20.551343858707696,SL Hit
1722456300000,-43.63252944358828,SL Hit (Same Bar)
1722522120000,-34.70284912738134,SL Hit (Same Bar)
1722526260000,24.759291060836404,TP Hit (Same Bar)
1722531780000,19.801339525001822,TP Hit (Same Bar)
1722537600000,35.9329147785902,TP Hit (Same Bar)
1722539880000,-23.093518411231344,SL Hit
1722610860000,26.329132140410366,TP Hit (Same Bar)
1722612840000,-13.344474744219042,SL Hit (Same Bar)
1722868260000,38.51674057041237,TP Hit (Same Bar)
1722869040000,132.650556791923,TP Hit
1722874860000,-17.815688857306668,SL Hit (Same Bar)
1722877260000,-31.172943590550858,SL Hit (Same Bar)
1722886260000,72.0780091995839,TP Hit (Same Bar)
1722953040000,-45.61366005688615,SL Hit (Same Bar)
1722955200000,-31.67312536247482,SL Hit (Same Bar)
1722959340000,-30.784025435321382,SL Hit (Same Bar)
1722966780000,59.592133656769875,TP Hit
1722970680000,40.1204038081778,TP Hit (Same Bar)
1723049520000,-25.65243265528261,SL Hit (Same Bar)
1723058100000,-28.91513307558489,SL Hit
1723130700000,55.59109602900571,TP Hit
1723143060000,-6.646731402302976,SL Hit (Same Bar)
1723144800000,22.866447781649185,TP Hit
1723146300000,23.821915685824933,TP Hit (Same Bar)
1723215900000,-13.976744101833901,SL Hit (Same Bar)
1723217760000,-36.47660601256939,SL Hit
1723472400000,-39.38870320064598,SL Hit
1723475760000,-11.085465808500885,SL Hit (Same Bar)
1723489140000,-16.3283392506346,SL Hit
1723491840000,-10.344275535375345,SL Hit (Same Bar)
1723493520000,-5.434271882440953,SL Hit (Same Bar)
1723560360000,-22.0023965385044,SL Hit
1723570200000,26.88169104148983,TP Hit
1723574700000,-7.863523046406044,SL Hit
1723577640000,-5.453718183176534,SL Hit (Same Bar)
1723646940000,-17.752668680965144,SL Hit (Same Bar)
1723656060000,-16.580992849136237,SL Hit (Same Bar)
1723661580000,-3.8454771086835535,SL Hit (Same Bar)
1723732320000,-22.362014412821736,SL Hit
1723737600000,-8.13812038852484,SL Hit (Same Bar)
1723741080000,-4.621677816765441,SL Hit (Same Bar)
1723743960000,-2.716903597523924,SL Hit (Same Bar)
1723750860000,-8.223737667511159,SL Hit
1724078400000,47.257314384842175,TP Hit
1724086260000,-4.607206227694405,SL Hit (Same Bar)
1724088540000,11.397523664243636,TP Hit
1724167440000,-8.745201504571014,SL Hit (Same Bar)
1724169420000,-9.032379121388658,SL Hit (Same Bar)
1724175120000,-19.43995964111673,SL Hit
1724182020000,-7.72399459288863,SL Hit (Same Bar)
1724184780000,11.738608477709931,TP Hit
1724252700000,40.41249842615798,TP Hit
1724267040000,-23.468814473169914,SL Hit
1724335560000,-24.56808945711964,SL Hit
1724339340000,43.863386644545244,TP Hit
1724346720000,-7.948028357946896,SL Hit (Same Bar)
1724352420000,-8.61550393505604,SL Hit (Same Bar)
1724357700000,20.64704952519969,TP Hit
1724421000000,-15.568819040927337,SL Hit
1724428560000,-12.592694526720152,SL Hit (Same Bar)
1724690040000,-15.32964785843069,SL Hit
1724693940000,-4.223804355446191,SL Hit (Same Bar)
1724699040000,16.166531572904205,TP Hit (Same Bar)
