mode,status,outcome,pnl,reason,structure_age,reclaim_depth,is_expansion,retest_count,active_level,exit_time
SAMPLING_MODE,DEAD,LOSS,-7.365031333189108,SL Hit (Same Bar),46,2.25,True,1,17611.0,1713901860000
SAMPLING_MODE,DEAD,LOSS,-30.522847179396194,SL Hit (Same Bar),28,12.5,True,1,17634.75,1713902640000
SAMPLING_MODE,DEAD,WIN,30.922339721684693,TP Hit (Same Bar),23,3.75,True,1,17713.0,1713967020000
SAMPLING_MODE,DEAD,LOSS,-21.983211389575445,SL Hit,20,7.0,True,1,17711.75,1713969540000
SAMPLING_MODE,DEAD,LOSS,-11.288070893519034,SL Hit (Same Bar),17,2.25,True,1,17581.75,1713976320000
SAMPLING_MODE,SURVIVOR,LOSS,-10.094507436704587,SL Hit,19,2.75,False,1,17633.0,1713979320000
SAMPLING_MODE,DEAD,LOSS,-23.840923752948584,SL Hit,32,9.5,True,1,17659.5,1713982380000
SAMPLING_MODE,SURVIVOR,WIN,13.75790661125211,TP Hit (Same Bar),21,0.75,False,1,17613.5,1713984840000
SAMPLING_MODE,SURVIVOR,LOSS,-22.4099127795198,SL Hit,26,8.5,False,1,17646.0,1713985980000
SAMPLING_MODE,DEAD,WIN,33.63465609983541,TP Hit,23,5.75,True,1,17683.5,1713988740000
SAMPLING_MODE,DEAD,LOSS,-40.12376151682111,SL Hit (Same Bar),16,17.0,True,1,17331.75,1714051860000
SAMPLING_MODE,SURVIVOR,WIN,26.50823009062151,TP Hit (Same Bar),19,1.75,False,1,17381.75,1714054020000
SAMPLING_MODE,DEAD,WIN,37.75376912568754,TP Hit,19,6.25,True,1,17395.0,1714059180000
SAMPLING_MODE,DEAD,LOSS,-13.632925853882623,SL Hit (Same Bar),41,3.5,True,1,17409.25,1714061460000
SAMPLING_MODE,SURVIVOR,LOSS,-9.189485603179492,SL Hit,32,1.75,False,1,17518.75,1714066680000
SAMPLING_MODE,DEAD,LOSS,-26.93178503778472,SL Hit,21,10.75,True,1,17580.0,1714068960000
SAMPLING_MODE,DEAD,LOSS,-16.96882032533904,SL Hit,23,6.25,True,1,17551.5,1714069680000
SAMPLING_MODE,SURVIVOR,WIN,7.930743306205841,TP Hit (Same Bar),75,0.0,False,1,17583.5,1714073580000
SAMPLING_MODE,DEAD,WIN,87.99462296241836,TP Hit,43,17.75,True,1,17693.5,1714138740000
SAMPLING_MODE,DEAD,LOSS,-61.47333949674066,SL Hit,37,25.5,True,1,17750.75,1714139340000
SAMPLING_MODE,SURVIVOR,LOSS,-7.926600634898932,SL Hit (Same Bar),25,0.5,False,1,17840.5,1714142580000
SAMPLING_MODE,DEAD,WIN,52.063574102547136,TP Hit,26,9.5,True,1,17815.5,1714144740000
SAMPLING_MODE,SURVIVOR,LOSS,-20.69472994014359,SL Hit,34,7.25,False,1,17856.0,1714341600000
SAMPLING_MODE,DEAD,LOSS,-26.48175679184351,SL Hit (Same Bar),24,12.25,True,1,17927.25,1714397460000
SAMPLING_MODE,DEAD,LOSS,-14.07552425985341,SL Hit (Same Bar),20,4.0,True,1,17902.0,1714397880000
SAMPLING_MODE,DEAD,WIN,26.657554659439484,TP Hit,27,3.25,True,1,17869.25,1714403700000
SAMPLING_MODE,DEAD,LOSS,-8.739459201424324,SL Hit (Same Bar),27,2.5,True,1,17859.5,1714404780000
SAMPLING_MODE,SURVIVOR,LOSS,-6.8838387168507325,SL Hit,40,1.5,False,1,17889.75,1714406460000
SAMPLING_MODE,DEAD,LOSS,-30.90526521358697,SL Hit,17,14.0,True,1,17889.5,1714410060000
